,Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC Value / M,SMILES_y
152,417,414.1,PERFLUORO OCTANOIC ACID,,25.0,0.0056,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O
153,423,174.3,OCTYL/OXYETHYLENE/1 ALCOHOL--OCTYL GLYCOL ETHER HOMOGENEOUS HEAD GROUP,,25.0,0.0049,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
154,424,204.3,OCTYL ALPHA-GLYCERYL ETHER,,25.0,0.0058,CC(CCCC(C)(C)O)CCO
155,427,384.5,HEXADECYL PYRIDINIUM BROMIDE,,25.0,0.00062,CCCCOCC(COCCCC)O
156,428,114.0,PERFLUORO ACETIC ACID,,25.0,2.6,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-]
157,429,164.0,PERFLUORO PROPIONIO ACID,,25.0,0.00111,C(=O)(C(F)(F)F)O
158,430,214.0,PERFLUORO BUTYRIC ACID,,25.0,0.71,C(=O)(C(C(F)(F)F)(F)F)O
159,455,514.1,PERFLUORO DECANOIC ACID,,25.0,0.00048,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
160,456,452.2,POTASSIUM PERFLUORO OCTANOATE,,25.0,2.211241089773317e-06,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
161,461,118.2,BUTYL/OXYETHYLENE/1 ALCOHOL--BUTYL GLYCOL ETHER HOMOGENEOUS HEAD GROUP,,25.0,0.98,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+]
162,462,376.4,SODIUM MONOLAURIN SULFATE,,25.0,0.0052,CC(CC(C)(C)O)O
163,476,166.2,SODIUM OCTANOATE,,25.0,0.34,CCCCCCCCCCC(C(=O)OCC(CO)O)S(=O)(=O)[O-].[Na+]
164,515,306.5,IS0-OCTYL/OXYETHYLENE/4 ALCOHOL BRANCHED CHAIN NATURAL 0E DISTRIBUTION,,25.0,1.6313213703099512,CCCC(CCC)C(=O)[O-].[Na+]
165,516,320.5,"NONYL/OXYETHYLENE/4 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,1.076443057722309,CCCCCCCCOCCOCCOCCOCCO
166,517,598.9,DECYL/OXO-PROCESS/ /OXYETHYLENE/10 ALCOHOL BRANCHED CHAIN NATURAL 0E DISTRIBUTION,,25.0,0.21706461846718986,CCCCCCCCCCCCCC(=O)O.C(C(CO)O)O
167,518,450.7,"TRIMETHYLNONYL/OXYETHYLENE/6 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.18637674728200576,CCCCCCCCCCCC(=O)O.CCCCC(CC)C(=O)O.C(C(CO)(CO)COCC(CO)(CO)CO)O
168,519,334.6,DECYL/OX0-PROCESS/ /OXYETHYLENE/4 ALCOHOL BRANCHED CHAIN NATURAL 0E DISTRIBUTION,,25.0,0.1972504482964734,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO
169,520,524.8,UNDECYL/OXYETHYLENE/8 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.043826219512195126,CCCCCCCCCCOCCOCCOCCOCCO
170,521,641.0,"TRIDECYL/OXYETHYLENE/10 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.014664586583463339,CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
171,523,719.1,DECYL BENZENE PARA/OXYETHYLENE/11.0 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.0019468780419969404,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
172,536,208.3,NONYL SULFONIC ACID,,25.0,4.800192007680307e-06,CCCCCC1=C(C(=CC=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)CCCCC.C1CO1
173,537,236.4,UNDECYL SULFONIC ACID,,25.0,4.22892585283338e-06,CCCCCCCCS(=O)(=O)OC
174,568,555.1,MAGNESIUM DODECYL SULFATE,,25.0,0.00088,CCCCCCCCCCOS(=O)(=O)C
175,571,585.7,MANGANESE DODECYL SULFATE,,25.0,0.0011,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Mg+2]
176,627,332.2,CESIUM DODECANOATE,,25.0,0.025,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Mn+2]
177,640,325.5,HEXYL TRIMETHYLAMMONIUM HEXANE SULFATE,,25.0,0.11,CCCCCCCCCCCC(=O)[O-].[Cs+]
178,642,409.7,OCTYL TRIMETHYLAMMONIUM DECANE SULFATE,,25.0,0.0019,CCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-]
179,644,309.5,HEXYL TRIMETHYLAMMONIUM HEXANE SULFONATE,,25.0,0.22,CCCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-]
180,645,268.3,PARA/BETA-D-GLUCOSYL/ETHYLBENZENE,,25.0,0.5,CCCCCCCCCCCCNC.CCS(=O)(=O)O
181,646,282.4,PARA/BETA-D-GLUCOSYL/PROPYL BENZENE,,25.0,0.13,C1COCCOC2=CC=CC=C2OCCOCCO1
182,647,296.4,PARA/BETA-D-GLUCOSYL/BUTYLBENZENE,,25.0,0.05,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C
183,648,276.4,ALPHA-D-GLUCOSYL OCTANE,,25.0,0.0079,CC(=CCC1C(O1)(C)C2(C(C(=O)CCC23CO3)OC)O)C
184,650,266.4,PARA/BETA-D-XYLosYL/BuTYL BENZENE,,25.0,0.0006,C=CCCCCCCCCC(=O)O.C(C(CO)O)O
185,654,374.7,OCTADECYL TRIMETHYLAMMONIUM NITRATE,,25.0,0.00023,CC1=CC2C(CC1)(C3(C(CC(C34CO4)O2)O)C)CO
186,655,368.1,OCTADECYL PYRIDINIUM CHLORIDE,,25.0,0.00024,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[N+](=O)([O-])[O-]
187,656,394.7,OCTADECYL PYRIDINIUM NITRATE,,25.0,0.000128,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
188,658,440.6,OCTADECYL TRIMETHYLAMMONIUM BROMATE,,25.0,0.00031,CCCOCCCCOCCCCCNC(=O)NC12CC3CC(C1)CC(C3)C2
189,659,357.7,OCTADECYL TRIMETHYLAMMONIUM FORMATE,,25.0,0.00044,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[O-]Br(=O)=O
190,660,479.5,HEXADECYL PYRIDINIUM IODATE,,25.0,0.0016,CCCCCCCCCCCCCCCCCCN(CCO)CCO
191,661,507.6,OCTADECYL PYRIDINIUM IODATE,,25.0,0.0005,CC(=O)OC(C[N+]1(CCCCC1)C)COC2CC3CCC2(C3(C)C)C.[I-]
192,662,482.7,OCTADECYL TRIETHYLAMMONIUM BROMATE,,25.0,0.00025,CCCCCCOC1=C(C=C(C=C1OC)CCCCCC[N+](C)(C)C)OC.[I-]
193,663,524.8,OCTADECYL TRIPROPYLAMMONIUM BROMATE,,25.0,0.000125,CCCCCCCCCCCCCCCCCC[N+](CC)(CC)CC.[O-]Br(=O)=O
194,666,538.8,HEXADECYL TRIBUTYLAMMONIUM BROMATE,,25.0,0.00033,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCC[N+](C)(C)C)OC.[Br-]
195,668,292.5,DIPOTASSIUM OCTYL MALONATE,,25.0,0.35,CCCCCCCCCCCCCCCCOCC(COCCCC[N+](C)(C)C)OCC.[Br-]
196,670,348.6,DIPOTASSIUM DODECYL MALONATE,,25.0,0.048,C(CCCCCC(=O)[O-])CCCCCC(=O)[O-].[K+].[K+]
197,671,376.7,DIPOTASSIUM TETRADECYL MALONATE,,25.0,0.017,CCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+]
198,672,404.7,DIPOTASSIUM HEXADECYL MALONATE,,25.0,0.0063,CCCCCCCC(CCCCCCC)(C(=O)[O-])C(=O)[O-].[K+].[K+]
199,673,432.8,DIPOTASSIUM OCTADECYL MALONATE,,25.0,0.0023,CCCCCCCCCCCCC(CCCC)(C(=O)[O-])C(=O)[O-].[K+].[K+]
200,684,178.3,HEXYL SULFINYLETHANOL,,25.0,5.6083991385498925e-06,CCCCCCCCCCCCC(CCCCCC)(C(=O)[O-])C(=O)[O-].[K+].[K+]
201,685,192.3,HEXYL SULFINYLPROPANOL,,25.0,5.200099841916965e-06,CCCCS(=O)(=O)CCCC
202,686,206.3,HEXYL SULFINYLBUTANOL,,25.0,4.847197858000184e-06,CCCCCCCCS(=O)(=O)C
203,687,220.4,HEXYL SULFINYLPENTANOL,,25.0,4.537090716608272e-06,CCCCCCCCS(=O)CCO
204,688,206.3,OCTYL SULFINYLETHANOL,,25.0,4.846288375229145e-06,CCCCCCCCCCS(=O)(=O)C
205,689,220.4,OCTYL SULFINYLPROPANOL,,25.0,4.536176003628941e-06,CCCCCCCCS(=O)CCO
206,690,234.4,OCTYL SULFINYLBUTANOL,,25.0,4.265301770100234e-06,CCCCCCCCCCS(=O)(=O)C
207,691,176.3,OCTYL METHYL SULFOXIDE,,25.0,5.670751251263591e-06,CCCCCCCCCCS(=O)CCO
208,692,234.4,DECYL SULFINYLETHANOL,,25.0,4.25486650356345e-06,C(CCCCO)CCCCS
209,717,378.4,DODECYLQUINOLINIUM BROMIDE,,25.0,0.0048,CCCCCCCCCCS(=O)CCO
210,112,339.5,TETRAMETHYL AMMONIUM DODECYL 1 SULFATE,,25.0,0.0055,CCCCCCCCCCCC[N+]1=CC2=CC=CC=C2C=C1.[Br-]
211,113,420.5,SODIUM DODECYL TRI-0XYETHYLENE SULFATE,,25.0,0.0001,CCCC[N+](CCCC)(CCCC)CCCC.OS(=O)(=O)[O-]
212,325,362.6,DODECYL/OXYETHYLENE/4 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,,25.0,4e-05,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
